AgentID,Profile,Avatar,In_Time,Out_Time,In_Location,Out_Location,Target_Speed(m/s),Distance_Traveled(m),Congested_Duration(s),Total_Duration(s),LOS_A_Duration(s),LOS_B_Duration(s),LOS_C_Duration(s),LOS_D_Duration(s),LOS_E_Duration(s),LOS_F_Duration(s)
1276,DefaultProfile,Green_LowPoly,03:03:00,03:03:28,seats1P2S1,gate1S1,1.44802,25.3965,8.4,28.6,5.6,3,4.2,2.8,4,9
1350,slimFastActiv,Blue_LowPoly,03:03:00,03:03:28,seats1P2S1,gate2S1,2.45345,29.501,8.2,28.6,2.2,2.2,4,3.8,7.8,8.6
1224,DefaultProfile,Green_LowPoly,03:03:00,03:03:29,seats1P2S1,gate1S1,1.7888,29.0277,9.6,29.8,6.2,2.4,4.8,2.4,4.8,9.2
1348,slimFastActiv,Blue_LowPoly,03:03:00,03:03:29,seats1P2S1,gate2S1,2.73578,29.577,8,29.4,1.8,1.4,3.8,4.4,6,12
1220,DefaultProfile,Green_LowPoly,03:03:00,03:03:30,seats1P2S1,gate2S1,1.17262,27.9345,5,30.8,7,5.6,5.4,2.4,4.4,6
1302,slimFastActiv,Blue_LowPoly,03:03:00,03:03:32,seats1P2S1,gate1S1,2.37178,28.9941,12.8,32,0.8,2.2,5.2,4.8,7.8,11.2
1368,DefaultProfile,Green_LowPoly,03:03:00,03:03:32,seats1P2S1,gate2S1,1.78082,28.5923,11.2,32,2.8,5,3.8,2,7.8,10.6
1389,slimFastActiv,Blue_LowPoly,03:03:00,03:03:33,seats1P2S1,gate2S1,2.39791,34.417,13,33.4,1,2.2,7.2,5.8,10.4,6.8
1248,slimFastActiv,Blue_LowPoly,03:03:00,03:03:34,seats1P2S1,gate1S1,1.75516,33.0831,10.8,35,0.8,3.2,9.8,5,6,10.2
1237,fatSlowLazy,Orange_LowPoly,03:03:00,03:03:35,seats1P2S1,gate1S1,1.46517,30.1104,15.4,35.2,9.6,5,4.8,1.6,4,10.2
1227,DefaultProfile,Green_LowPoly,03:03:00,03:03:38,seats1P2S1,gate1S1,1.30789,30.6363,17.2,38.4,4.8,7.6,8.6,0.8,5,11.6
1404,DefaultProfile,Green_LowPoly,03:03:00,03:03:38,seats1P2S1,gate2S1,1.68695,29.0556,22.8,37.8,1.6,5.8,5.2,8.4,9.4,7.4
