From,To,Population,Time Offset,Curve,Avatar,Profile,Init Action,Give Tokens...
gateS2,train0line3ArrivingP4S2,50,-0:06:00,paxArrRateAtStn,Blue_LowPoly,slimFastActiv,waitOnP3_4,trainTicketP4
gateS2,train0line3ArrivingP4S2,50,-0:06:00,paxArrRateAtStn,Green_LowPoly,DefaultProfile,waitOnP3_4,trainTicketP4
gateS2,train0line3ArrivingP4S2,50,-0:06:00,paxArrRateAtStn,Orange_LowPoly,fatSlowLazy,waitOnP3_4,trainTicketP4
train0line3ArrivingP4S2,trainSeatsP1,7,,,Green_LowPoly,DefaultProfile,waitOnP1_2,trainTicketP1
train0line3ArrivingP4S2,trainSeatsP2,7,,,Green_LowPoly,DefaultProfile,waitOnP1_2,trainTicketP2
train0line3ArrivingP4S2,trainSeatsP3,7,,,Green_LowPoly,DefaultProfile,waitOnP3_4,trainTicketP3
train0line3ArrivingP4S2,gateS2,28,,,Green_LowPoly,DefaultProfile,,
train0line3ArrivingP4S2,trainSeatsP1,6,,,Orange_LowPoly,fatSlowLazy,waitOnP1_2,trainTicketP1
train0line3ArrivingP4S2,trainSeatsP2,6,,,Orange_LowPoly,fatSlowLazy,waitOnP1_2,trainTicketP2
train0line3ArrivingP4S2,trainSeatsP3,6,,,Orange_LowPoly,fatSlowLazy,waitOnP3_4,trainTicketP3
train0line3ArrivingP4S2,gateS2,24,,,Orange_LowPoly,fatSlowLazy,,
train0line3ArrivingP4S2,trainSeatsP1,7,,,Blue_LowPoly,slimFastActiv,waitOnP1_2,trainTicketP1
train0line3ArrivingP4S2,trainSeatsP2,7,,,Blue_LowPoly,slimFastActiv,waitOnP1_2,trainTicketP2
train0line3ArrivingP4S2,trainSeatsP3,7,,,Blue_LowPoly,slimFastActiv,waitOnP3_4,trainTicketP3
train0line3ArrivingP4S2,gateS2,28,,,Blue_LowPoly,slimFastActiv,,
gateS2,train0line2ArrivingP1S2,50,-0:06:00,paxArrRateAtStn,Blue_LowPoly,slimFastActiv,waitOnP1_2,trainTicketP1
gateS2,train0line2ArrivingP1S2,50,-0:06:00,paxArrRateAtStn,Green_LowPoly,DefaultProfile,waitOnP1_2,trainTicketP1
gateS2,train0line2ArrivingP1S2,50,-0:06:00,paxArrRateAtStn,Orange_LowPoly,fatSlowLazy,waitOnP1_2,trainTicketP1
train0line2ArrivingP1S2,trainSeatsP2,9,,,Green_LowPoly,DefaultProfile,waitOnP1_2,trainTicketP2
train0line2ArrivingP1S2,trainSeatsP3,5,,,Green_LowPoly,DefaultProfile,waitOnP3_4,trainTicketP3
train0line2ArrivingP1S2,trainSeatsP4,6,,,Green_LowPoly,DefaultProfile,waitOnP3_4,trainTicketP4
train0line2ArrivingP1S2,gateS2,28,,,Green_LowPoly,DefaultProfile,,
train0line2ArrivingP1S2,trainSeatsP2,11,,,Orange_LowPoly,fatSlowLazy,waitOnP1_2,trainTicketP2
train0line2ArrivingP1S2,trainSeatsP3,6,,,Orange_LowPoly,fatSlowLazy,waitOnP3_4,trainTicketP3
train0line2ArrivingP1S2,trainSeatsP4,8,,,Orange_LowPoly,fatSlowLazy,waitOnP3_4,trainTicketP4
train0line2ArrivingP1S2,gateS2,17,,,Orange_LowPoly,fatSlowLazy,,
train0line2ArrivingP1S2,trainSeatsP2,9,,,Blue_LowPoly,slimFastActiv,waitOnP1_2,trainTicketP2
train0line2ArrivingP1S2,trainSeatsP3,5,,,Blue_LowPoly,slimFastActiv,waitOnP3_4,trainTicketP3
train0line2ArrivingP1S2,trainSeatsP4,6,,,Blue_LowPoly,slimFastActiv,waitOnP3_4,trainTicketP4
train0line2ArrivingP1S2,gateS2,28,,,Blue_LowPoly,slimFastActiv,,
gateS2,train0line4ArrivingP3S2,50,-0:06:00,paxArrRateAtStn,Blue_LowPoly,slimFastActiv,waitOnP3_4,trainTicketP3
gateS2,train0line4ArrivingP3S2,50,-0:06:00,paxArrRateAtStn,Green_LowPoly,DefaultProfile,waitOnP3_4,trainTicketP3
gateS2,train0line4ArrivingP3S2,50,-0:06:00,paxArrRateAtStn,Orange_LowPoly,fatSlowLazy,waitOnP3_4,trainTicketP3
train0line4ArrivingP3S2,trainSeatsP1,7,,,Green_LowPoly,DefaultProfile,waitOnP1_2,trainTicketP1
train0line4ArrivingP3S2,trainSeatsP2,7,,,Green_LowPoly,DefaultProfile,waitOnP1_2,trainTicketP2
train0line4ArrivingP3S2,trainSeatsP4,7,,,Green_LowPoly,DefaultProfile,waitOnP3_4,trainTicketP4
train0line4ArrivingP3S2,gateS2,28,,,Green_LowPoly,DefaultProfile,,
train0line4ArrivingP3S2,trainSeatsP1,6,,,Orange_LowPoly,fatSlowLazy,waitOnP1_2,trainTicketP1
train0line4ArrivingP3S2,trainSeatsP2,6,,,Orange_LowPoly,fatSlowLazy,waitOnP1_2,trainTicketP2
train0line4ArrivingP3S2,trainSeatsP4,6,,,Orange_LowPoly,fatSlowLazy,waitOnP3_4,trainTicketP4
train0line4ArrivingP3S2,gateS2,24,,,Orange_LowPoly,fatSlowLazy,,
train0line4ArrivingP3S2,trainSeatsP1,7,,,Blue_LowPoly,slimFastActiv,waitOnP1_2,trainTicketP1
train0line4ArrivingP3S2,trainSeatsP2,7,,,Blue_LowPoly,slimFastActiv,waitOnP1_2,trainTicketP2
train0line4ArrivingP3S2,trainSeatsP4,7,,,Blue_LowPoly,slimFastActiv,waitOnP3_4,trainTicketP4
train0line4ArrivingP3S2,gateS2,28,,,Blue_LowPoly,slimFastActiv,,
gateS2,train0line1ArrivingP2S2,50,-0:06:00,paxArrRateAtStn,Blue_LowPoly,slimFastActiv,waitOnP1_2,trainTicketP2
gateS2,train0line1ArrivingP2S2,50,-0:06:00,paxArrRateAtStn,Green_LowPoly,DefaultProfile,waitOnP1_2,trainTicketP2
gateS2,train0line1ArrivingP2S2,50,-0:06:00,paxArrRateAtStn,Orange_LowPoly,fatSlowLazy,waitOnP1_2,trainTicketP2
train0line1ArrivingP2S2,trainSeatsP1,3,,,Green_LowPoly,DefaultProfile,waitOnP1_2,trainTicketP1
train0line1ArrivingP2S2,trainSeatsP3,3,,,Green_LowPoly,DefaultProfile,waitOnP3_4,trainTicketP3
train0line1ArrivingP2S2,trainSeatsP4,3,,,Green_LowPoly,DefaultProfile,waitOnP3_4,trainTicketP4
train0line1ArrivingP2S2,gateS2,13,,,Green_LowPoly,DefaultProfile,,
train0line1ArrivingP2S2,trainSeatsP1,1,,,Orange_LowPoly,fatSlowLazy,waitOnP1_2,trainTicketP1
train0line1ArrivingP2S2,trainSeatsP3,1,,,Orange_LowPoly,fatSlowLazy,waitOnP3_4,trainTicketP3
train0line1ArrivingP2S2,trainSeatsP4,1,,,Orange_LowPoly,fatSlowLazy,waitOnP3_4,trainTicketP4
