,gate1S4,gate2S4,seats1P1S4,seats1P2S4,seats2P1S4,seats2P2S4,seats3P1S4,seats3P2S4,wait1P1S4,wait1P2S4,wait2P1S4,wait2P2S4,wait3P1S4,wait3P2S4
gate1S4,0,0,49,99,61,72,65,47,0,0,0,0,0,0
gate2S4,0,0,96,97,61,83,51,66,0,0,0,0,0,0
seats1P1S4,39,30,0,0,0,0,0,0,0,0,0,0,0,0
seats1P2S4,55,52,25,0,26,0,26,0,0,0,0,0,0,0
seats2P1S4,45,42,0,0,0,0,0,0,0,0,0,0,0,0
seats2P2S4,36,52,30,0,24,0,33,0,0,0,0,0,0,0
seats3P1S4,46,35,0,0,0,0,0,0,0,0,0,0,0,0
seats3P2S4,55,49,23,0,22,0,32,0,0,0,0,0,0,0
wait1P1S4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wait1P2S4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wait2P1S4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wait2P2S4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wait3P1S4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wait3P2S4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#############
#
#StartTime,02:54:00
#EndTime,03:30:00
#AgentsStillInSim,559
