AgentID,Profile,Avatar,In_Time,Out_Time,In_Location,Out_Location,Target_Speed(m/s),Distance_Traveled(m),Congested_Duration(s),Total_Duration(s),LOS_A_Duration(s),LOS_B_Duration(s),LOS_C_Duration(s),LOS_D_Duration(s),LOS_E_Duration(s),LOS_F_Duration(s)
1064,fatSlowLazy,Orange_LowPoly,02:57:31,03:01:22,gate1S3,seats1P1S3,1.32019,91.2044,177.2,230.6,22.6,40.8,142.6,18.8,5.8,0
1090,slimFastActiv,Blue_LowPoly,02:57:58,03:01:22,gate1S3,seats1P1S3,2.98837,90.8086,175.6,204.2,61.6,35.2,98,4.6,3.8,1
1092,slimFastActiv,Blue_LowPoly,02:58:04,03:01:22,gate1S3,seats1P1S3,2.74726,89.5747,165.4,198.4,114.2,55.8,12.8,10.2,3.8,1.6
1119,slimFastActiv,Blue_LowPoly,02:58:40,03:01:24,gate1S3,seats1P1S3,1.97641,87.9684,117.6,163.8,22.2,59,64.8,12.8,2.2,2.8
1122,slimFastActiv,Blue_LowPoly,02:58:47,03:01:24,gate2S3,seats1P1S3,1.70541,97.4985,103.6,156.4,44.4,11.4,84,12.4,2.8,1.4
1328,slimFastActiv,Blue_LowPoly,03:01:00,03:01:24,seats3P1S3,gate1S3,2.12152,35.5156,6.4,24,12.2,3.4,5.2,2.6,0.6,0
1072,slimFastActiv,Blue_LowPoly,02:57:42,03:01:24,gate1S3,seats1P1S3,2.87027,91.888,184.2,222.6,135.8,9.6,64.8,4.8,4,3.6
1076,slimFastActiv,Blue_LowPoly,02:57:44,03:01:25,gate2S3,seats1P1S3,2.92446,93.489,185.6,221,130.4,35.6,45,4.4,1.6,4
1106,slimFastActiv,Blue_LowPoly,02:58:23,03:01:25,gate2S3,seats1P1S3,1.96304,92.9464,137.8,182.4,28.8,34.6,98.4,15,0.8,4.8
1192,slimFastActiv,Blue_LowPoly,03:00:10,03:01:26,gate2S3,seats1P1S3,2.04585,96.1089,29,75.4,16.6,7,14.8,14.6,20.4,2
1113,slimFastActiv,Blue_LowPoly,02:58:34,03:01:27,gate2S3,seats1P1S3,2.59182,96.1656,129.2,173.2,95.4,9.2,51,8.8,4.8,4
1083,DefaultProfile,Green_LowPoly,02:57:50,03:01:27,gate1S3,seats1P1S3,1.14385,94.9515,146,216.8,80.2,32.4,85.6,10.6,2.4,5.6
1306,slimFastActiv,Blue_LowPoly,03:01:00,03:01:27,seats3P1S3,gate2S3,1.90979,35.3755,9.4,27.8,13.6,3.8,7.2,1.6,1,0.6
1111,DefaultProfile,Green_LowPoly,02:58:33,03:01:29,gate1S3,seats1P1S3,1.12707,97.0313,105.2,176,33,24.4,23.6,73.6,13.8,7.6
1109,DefaultProfile,Green_LowPoly,02:58:27,03:01:29,gate1S3,seats1P1S3,1.27936,101.272,129,182.4,27,18.4,78.2,47.2,5.6,6
1080,DefaultProfile,Green_LowPoly,02:57:49,03:01:30,gate1S3,seats1P1S3,1.40494,90.8543,160.2,221,44.8,76.8,72.4,15.8,2.4,8.8
1200,slimFastActiv,Blue_LowPoly,03:00:18,03:01:30,gate2S3,seats1P1S3,2.83543,99.751,29.8,73,4.6,9.8,23.8,20.2,6,8.6
1020,slimFastActiv,Blue_LowPoly,02:56:08,03:01:31,gate2S3,seats1P1S3,1.87021,92.2675,268.8,323,35.2,226.8,46.2,4.8,2.4,7.6
1127,fatSlowLazy,Orange_LowPoly,02:58:49,03:01:31,gate2S3,seats1P1S3,1.30391,101.51,119.4,162,53.6,57.8,28.6,18.8,2.8,0.4
1042,DefaultProfile,Green_LowPoly,02:56:55,03:01:31,gate2S3,seats1P1S3,1.81087,94.252,230,276,110.6,90.8,61.8,4,2.6,6.2
1156,slimFastActiv,Blue_LowPoly,02:59:26,03:01:32,gate1S3,seats1P1S3,1.5146,92.4984,68.4,126.4,19,13,60.2,15.2,8.2,10.8
1355,slimFastActiv,Blue_LowPoly,03:01:00,03:01:32,seats3P1S3,gate2S3,2.73173,45.5271,10,31.8,5.4,2,10.2,8.6,4.2,1.4
1012,DefaultProfile,Green_LowPoly,02:55:48,03:01:32,gate1S3,seats1P1S3,1.28026,89.0251,271.6,344,100.4,180.8,46,4.2,2.2,10.4
1016,slimFastActiv,Blue_LowPoly,02:56:01,03:01:32,gate1S3,seats1P1S3,1.60397,87.5645,271.8,331.8,237.6,15,55,9.8,2.8,11.6
1004,slimFastActiv,Blue_LowPoly,02:55:14,03:01:33,gate1S3,seats1P1S3,2.57134,92.7429,338.8,378.6,267.4,29.6,56.4,10.8,3.4,11
1162,slimFastActiv,Blue_LowPoly,02:59:40,03:01:33,gate1S3,seats1P1S3,1.78951,100.811,57.4,113.4,22.2,18.8,35,14.2,12.4,10.8
1141,DefaultProfile,Green_LowPoly,02:59:06,03:01:33,gate2S3,seats1P1S3,1.45382,101.197,96,147.6,35.6,13.4,34.6,50,7.4,6.6
1041,slimFastActiv,Blue_LowPoly,02:56:55,03:01:34,gate2S3,seats1P1S3,2.63253,90.5182,241.2,279.6,26.8,133,66.6,37.6,2.2,13.4
1197,slimFastActiv,Blue_LowPoly,03:00:16,03:01:34,gate1S3,seats1P1S3,1.94352,93.0287,19.6,78.6,18.4,8,16.2,12.6,10.2,13.2
1009,fatSlowLazy,Orange_LowPoly,02:55:35,03:01:34,gate2S3,seats1P1S3,1.34045,102.919,294.8,359.8,79.2,235.4,34.4,6.4,4.4,0
1116,DefaultProfile,Green_LowPoly,02:58:39,03:01:35,gate2S3,seats1P1S3,1.42253,95.9601,127,176.8,55,11.8,83.8,8.2,4,14
1337,DefaultProfile,Green_LowPoly,03:01:00,03:01:36,seats3P1S3,gate1S3,1.67684,37.9984,10.6,35.6,6.8,4.8,9.8,9.2,5,0
1136,DefaultProfile,Green_LowPoly,02:59:01,03:01:36,gate1S3,seats1P1S3,1.41192,101.984,103.6,155,24.6,28.8,71.4,15,3.4,11.8
1053,DefaultProfile,Green_LowPoly,02:57:16,03:01:37,gate2S3,seats1P1S3,1.25852,100.468,199.2,260.8,29.4,130.6,80.2,11.8,1,7.8
1074,fatSlowLazy,Orange_LowPoly,02:57:43,03:01:37,gate1S3,seats1P1S3,0.897844,98.3599,149.8,234,12.4,76.8,92.2,35,4.8,12.8
1117,slimFastActiv,Blue_LowPoly,02:58:39,03:01:37,gate2S3,seats1P1S3,2.49436,95.268,134,178,85.2,22,42.6,9.8,3,15.4
1049,DefaultProfile,Green_LowPoly,02:57:11,03:01:37,gate1S3,seats1P1S3,1.30597,90.7261,205.6,266.4,18.6,36.8,159.6,32.2,4.8,14.4
1330,slimFastActiv,Blue_LowPoly,03:01:00,03:01:37,seats2P1S3,gate1S3,2.90574,56.5342,10.8,37.6,4.2,1.6,11.8,12.6,7.4,0
1058,slimFastActiv,Blue_LowPoly,02:57:20,03:01:38,gate2S3,seats1P1S3,1.61626,96.001,197.2,258.4,117.2,59.8,60.4,6.2,2.4,12.4
1138,slimFastActiv,Blue_LowPoly,02:59:04,03:01:38,gate2S3,seats1P1S3,2.40814,107.481,114.6,154.6,99.8,5.4,21.8,14.8,5.6,7.2
1101,DefaultProfile,Green_LowPoly,02:58:17,03:01:39,gate1S3,seats1P1S3,1.48837,96.2878,152.4,201.8,48.6,35.8,90,9.6,3.2,14.6
1246,DefaultProfile,Green_LowPoly,03:01:00,03:01:39,seats3P1S3,gate2S3,1.4747,37.3088,16.6,39.6,13.2,9.4,8.2,4.8,4,0
1081,slimFastActiv,Blue_LowPoly,02:57:49,03:01:39,gate2S3,seats1P1S3,2.1521,93.6143,185.4,230.2,18.4,113.2,67,10.4,4.2,17
1387,slimFastActiv,Blue_LowPoly,03:01:00,03:01:39,seats3P1S3,gate1S3,1.97711,47.3329,11.2,39,5,7.6,8.8,13.4,4.2,0
1114,fatSlowLazy,Orange_LowPoly,02:58:35,03:01:39,gate1S3,seats1P1S3,1.09119,109.505,126.2,184.6,76,31,50.8,17.8,6.2,2.8
1366,DefaultProfile,Green_LowPoly,03:01:00,03:01:40,seats3P1S3,gate2S3,1.82573,39.8626,16.6,39.4,7.4,4.4,11.6,6.8,8.8,0.4
1125,slimFastActiv,Blue_LowPoly,02:58:49,03:01:40,gate2S3,seats1P1S3,2.71456,99.8406,132.6,171.2,118.2,7.4,19.8,15.4,2.8,7.6
1035,fatSlowLazy,Orange_LowPoly,02:56:32,03:01:40,gate1S3,seats1P1S3,1.28742,106.274,246,308,184.6,45.6,62,7.8,1.6,6.4
1068,DefaultProfile,Green_LowPoly,02:57:36,03:01:40,gate2S3,seats1P1S3,1.3456,96.6494,186.2,245,126.6,35.2,57.4,5.8,6,14
1185,slimFastActiv,Blue_LowPoly,03:00:06,03:01:41,gate2S3,seats1P1S3,1.66125,93.8581,30.4,94.4,17,4.4,16.2,18.8,22.8,15.2
1145,DefaultProfile,Green_LowPoly,02:59:14,03:01:41,gate2S3,seats1P1S3,1.28109,107.331,92.8,147.8,61.8,29.8,34.4,15.2,1,5.6
1287,DefaultProfile,Green_LowPoly,03:01:00,03:01:42,seats3P1S3,gate2S3,1.04456,34.5126,2,42,11.6,15,7.2,3.4,4,0.8
1132,DefaultProfile,Green_LowPoly,02:58:58,03:01:42,gate1S3,seats1P1S3,1.45589,107.297,117,164.4,36.8,22.6,85.6,12.6,1.6,5.2
1019,fatSlowLazy,Orange_LowPoly,02:56:07,03:01:43,gate2S3,seats1P1S3,0.917037,102.492,246.6,335.8,184.8,47.6,55,39.4,2.4,6.6
1318,DefaultProfile,Green_LowPoly,03:01:00,03:01:44,seats3P1S3,gate2S3,1.58649,46.2061,13,44.2,4.8,11.4,14.8,5,8.2,0
1050,fatSlowLazy,Orange_LowPoly,02:57:13,03:01:44,gate2S3,seats1P1S3,0.812588,102.81,180.8,271.8,99,107,48.2,11.8,4.8,1
1283,DefaultProfile,Green_LowPoly,03:01:00,03:01:44,seats3P1S3,gate2S3,1.18389,39.0675,9.2,44.6,3.6,17,16.4,6.4,1.2,0
1032,DefaultProfile,Green_LowPoly,02:56:29,03:01:46,gate2S3,traindoor1P1S3,1.59589,93.46,270,316.6,104.6,55.8,122.2,21.4,9,3.6
1044,slimFastActiv,Blue_LowPoly,02:56:57,03:01:46,gate2S3,traindoor1P1S3,1.63105,88.7216,236.6,288.4,201.8,26.2,34.4,12.8,10.2,3
1046,DefaultProfile,Green_LowPoly,02:57:06,03:01:46,gate2S3,traindoor1P1S3,1.38666,92.35,229.2,279.8,46.4,91,82.8,44.8,11,3.8
1069,fatSlowLazy,Orange_LowPoly,02:57:36,03:01:46,gate1S3,seats1P1S3,0.891611,111.012,160.2,249.4,76.4,69.2,84.2,12.4,1.6,5.6
1094,fatSlowLazy,Orange_LowPoly,02:58:06,03:01:46,gate1S3,car1P1S3,1.00536,114.34,154.4,219.6,97,46.4,61.6,8.2,1.2,5.2
1107,fatSlowLazy,Orange_LowPoly,02:58:24,03:01:46,gate1S3,car1P1S3,0.831251,96.3716,122.6,202,17.6,76.6,50.4,24,19.6,13.8
1164,DefaultProfile,Green_LowPoly,02:59:42,03:01:46,gate2S3,car1P1S3,1.2807,98.0983,81.2,124.2,36.2,17,38.6,19.8,8.2,4.4
1168,DefaultProfile,Green_LowPoly,02:59:45,03:01:46,gate2S3,car1P1S3,1.30543,99.5695,69.8,121,34.2,23.4,21,24,14.2,4.2
1169,fatSlowLazy,Orange_LowPoly,02:59:47,03:01:46,gate2S3,car1P1S3,1.39408,93.0278,78.8,119.2,37.4,29.6,23,20.2,4.6,4.4
1199,slimFastActiv,Blue_LowPoly,03:00:17,03:01:46,gate2S3,car1P1S3,1.73875,91.4692,38.6,88.6,13.8,5.2,20.8,27,16.6,5.2
1222,slimFastActiv,Blue_LowPoly,03:00:33,03:01:46,gate2S3,car1P1S3,2.21731,89.3898,33,72.8,14,4.4,15.4,20.2,14,4.8
