AgentID,Profile,Avatar,In_Time,Out_Time,In_Location,Out_Location,Target_Speed(m/s),Distance_Traveled(m),Congested_Duration(s),Total_Duration(s),LOS_A_Duration(s),LOS_B_Duration(s),LOS_C_Duration(s),LOS_D_Duration(s),LOS_E_Duration(s),LOS_F_Duration(s)
2210,slimFastActiv,Blue_LowPoly,03:01:16,03:04:18,gateS2,seats3P4S2,1.94352,108.319,127,181.8,21.6,10.8,104.2,39,6.2,0
2014,slimFastActiv,Blue_LowPoly,02:58:57,03:04:19,gateS2,seats1P4S2,2.45329,66.5062,290.8,322.6,229,53.4,36,4,0.2,0
2040,slimFastActiv,Blue_LowPoly,02:59:22,03:04:20,gateS2,seats3P4S2,2.63253,115.139,248,297.4,165.4,21.6,25.4,83.6,1.4,0
2287,fatSlowLazy,Orange_LowPoly,03:01:55,03:04:20,gateS2,seats1P4S2,0.878931,83.3749,88.4,144.8,26.8,41.4,33,42.2,1.4,0
2154,DefaultProfile,Green_LowPoly,03:00:48,03:04:20,gateS2,seats3P4S2,1.28109,123.559,138.2,212.6,45.2,34.6,32.2,96.8,3.8,0
2021,slimFastActiv,Blue_LowPoly,02:59:05,03:04:21,gateS2,seats1P4S2,1.86048,66.9621,280.6,315.8,188.4,67.8,45.6,12.4,1.6,0
2238,slimFastActiv,Blue_LowPoly,03:01:29,03:04:21,gateS2,seats3P4S2,2.21731,120.8,121.8,172,117.8,6.6,26,20.6,1,0
2127,DefaultProfile,Green_LowPoly,03:00:35,03:04:21,gateS2,seats1P4S2,1.69386,83.7205,191.4,226.6,50,47.4,97,28.6,3,0.6
2485,slimFastActiv,Blue_LowPoly,03:03:40,03:04:21,gateS2,seats1P4S2,2.62702,69.4341,13.2,42,11.4,8.2,9.4,8,5,0
2271,fatSlowLazy,Orange_LowPoly,03:01:45,03:04:22,gateS2,seats1P4S2,0.595653,79.7876,54.6,158,53.6,18.2,43.6,28.6,14,0
2103,fatSlowLazy,Orange_LowPoly,03:00:17,03:04:23,gateS2,seats1P4S2,1.24136,85.9804,201.8,245.6,26.6,41.6,129.2,35,11.6,1.6
2466,slimFastActiv,Blue_LowPoly,03:03:34,03:04:23,gateS2,seats1P4S2,2.31687,68.2281,14.2,49.6,15.2,4.6,13.4,5,9.6,1.8
2002,DefaultProfile,Green_LowPoly,02:58:01,03:04:24,gateS2,seats1P4S2,1.44042,81.8364,331.4,382.4,136.2,50,87.8,87.4,19.6,1.4
2288,slimFastActiv,Blue_LowPoly,03:01:56,03:04:24,gateS2,seats1P4S2,2.63871,77.143,114,148,41.8,20.4,55.8,17.2,10.2,2.6
2029,slimFastActiv,Blue_LowPoly,02:59:10,03:04:24,gateS2,seats1P4S2,2.85967,74.4278,283.4,313.6,118.4,75.8,94,20,2.2,3.2
2003,slimFastActiv,Blue_LowPoly,02:58:02,03:04:24,gateS2,seats1P4S2,2.4202,70.4054,348.2,382,105.2,19.8,152.2,91.4,11,2.4
2364,slimFastActiv,Blue_LowPoly,03:02:34,03:04:24,gateS2,seats3P4S2,1.95977,125.569,51.8,110.8,44.2,10,29.2,16.6,10.8,0
2048,slimFastActiv,Blue_LowPoly,02:59:31,03:04:24,gateS2,seats3P4S2,2.55586,117.416,248.8,294,98,75.8,110.4,3.6,1.8,4.4
2150,slimFastActiv,Blue_LowPoly,03:00:45,03:04:25,gateS2,seats1P4S2,2.12459,71.3041,186.8,219.6,67,44.8,77.6,22.6,4.6,3
2378,fatSlowLazy,Orange_LowPoly,03:02:41,03:04:25,gateS2,seats1P4S2,1.34702,82.2722,57.8,104.4,27.4,17.4,20.6,30,6.4,2.6
2171,slimFastActiv,Blue_LowPoly,03:00:54,03:04:25,gateS2,seats3P4S2,2.37005,107.962,162.6,211.6,20.6,14.4,84.8,79.8,6.6,5.4
2043,slimFastActiv,Blue_LowPoly,02:59:25,03:04:25,gateS2,seats1P4S2,1.52163,67.4025,253,300.2,54.4,56,109.2,68.2,9.6,2.8
2033,fatSlowLazy,Orange_LowPoly,02:59:13,03:04:26,gateS2,seats1P4S2,1.42559,108.466,255.4,313,75.8,54,118.6,55,7,2.6
2407,DefaultProfile,Green_LowPoly,03:03:00,03:04:26,gateS2,seats1P4S2,1.5201,80.8786,38.6,86.2,14.4,10,15.6,32,13.8,0.4
2114,slimFastActiv,Blue_LowPoly,03:00:24,03:04:26,gateS2,seats3P4S2,2.49436,116.123,191.8,242.4,21.8,31.6,170.6,8.2,4.6,5.6
2027,DefaultProfile,Green_LowPoly,02:59:08,03:04:26,gateS2,seats3P4S2,1.50898,110.848,247.4,318.6,51.4,110.6,133.2,14.8,2.2,6.4
2125,slimFastActiv,Blue_LowPoly,03:00:32,03:04:26,gateS2,seats3P4S2,1.70541,111.512,165,234.8,32,63.8,110.2,19.8,3,6
2070,slimFastActiv,Blue_LowPoly,02:59:54,03:04:27,gateS2,seats3P4S2,2.87027,107.925,230.6,273.8,39.4,92.4,100.4,25.8,9.6,6.2
2124,fatSlowLazy,Orange_LowPoly,03:00:32,03:04:27,gateS2,seats1P4S2,1.07014,86.4955,177.2,236,24.4,28.4,76.4,68.2,34.6,4
2024,slimFastActiv,Blue_LowPoly,02:59:07,03:04:28,gateS2,seats3P4S2,1.87021,112.641,252.6,321,222.8,43.6,43.8,2.2,2.2,6.4
2007,DefaultProfile,Green_LowPoly,02:58:28,03:04:28,gateS2,seats1P4S2,1.90506,75.8067,316.6,360,82.4,19,127.4,76.4,50.6,4.2
