From,To,Population,Time Offset,Curve,Avatar,Profile,Init Action,Give Tokens...
gateS5,train0line4ArrivingP1S5,50,-0:06:00,paxArrRateAtStn,Blue_LowPoly,slimFastActiv,waitOnP1,trainTicketP1
gateS5,train0line4ArrivingP1S5,50,-0:06:00,paxArrRateAtStn,Green_LowPoly,DefaultProfile,waitOnP1,trainTicketP1
gateS5,train0line4ArrivingP1S5,50,-0:06:00,paxArrRateAtStn,Orange_LowPoly,fatSlowLazy,waitOnP1,trainTicketP1
train0line4ArrivingP1S5,trainSeatsP2,25,,,Green_LowPoly,DefaultProfile,waitOnP2,trainTicketP2
train0line4ArrivingP1S5,gateS5,25,,,Green_LowPoly,DefaultProfile,,
train0line4ArrivingP1S5,trainSeatsP2,25,,,Orange_LowPoly,fatSlowLazy,waitOnP2,trainTicketP2
train0line4ArrivingP1S5,gateS5,25,,,Orange_LowPoly,fatSlowLazy,,
train0line4ArrivingP1S5,trainSeatsP2,25,,,Blue_LowPoly,slimFastActiv,waitOnP2,trainTicketP2
train0line4ArrivingP1S5,gateS5,25,,,Blue_LowPoly,slimFastActiv,,
gateS5,train1line4ArrivingP1S5,50,-0:06:00,paxArrRateAtStn,Blue_LowPoly,slimFastActiv,waitOnP1,trainTicketP1
gateS5,train1line4ArrivingP1S5,50,-0:06:00,paxArrRateAtStn,Green_LowPoly,DefaultProfile,waitOnP1,trainTicketP1
gateS5,train1line4ArrivingP1S5,50,-0:06:00,paxArrRateAtStn,Orange_LowPoly,fatSlowLazy,waitOnP1,trainTicketP1
train1line4ArrivingP1S5,trainSeatsP2,25,,,Green_LowPoly,DefaultProfile,waitOnP2,trainTicketP2
train1line4ArrivingP1S5,gateS5,25,,,Green_LowPoly,DefaultProfile,,
train1line4ArrivingP1S5,trainSeatsP2,25,,,Orange_LowPoly,fatSlowLazy,waitOnP2,trainTicketP2
train1line4ArrivingP1S5,gateS5,25,,,Orange_LowPoly,fatSlowLazy,,
train1line4ArrivingP1S5,trainSeatsP2,25,,,Blue_LowPoly,slimFastActiv,waitOnP2,trainTicketP2
train1line4ArrivingP1S5,gateS5,25,,,Blue_LowPoly,slimFastActiv,,
gateS5,train2line4ArrivingP1S5,50,-0:06:00,paxArrRateAtStn,Blue_LowPoly,slimFastActiv,waitOnP1,trainTicketP1
gateS5,train2line4ArrivingP1S5,50,-0:06:00,paxArrRateAtStn,Green_LowPoly,DefaultProfile,waitOnP1,trainTicketP1
gateS5,train2line4ArrivingP1S5,50,-0:06:00,paxArrRateAtStn,Orange_LowPoly,fatSlowLazy,waitOnP1,trainTicketP1
train2line4ArrivingP1S5,trainSeatsP2,25,,,Green_LowPoly,DefaultProfile,waitOnP2,trainTicketP2
train2line4ArrivingP1S5,gateS5,25,,,Green_LowPoly,DefaultProfile,,
train2line4ArrivingP1S5,trainSeatsP2,25,,,Orange_LowPoly,fatSlowLazy,waitOnP2,trainTicketP2
train2line4ArrivingP1S5,gateS5,25,,,Orange_LowPoly,fatSlowLazy,,
train2line4ArrivingP1S5,trainSeatsP2,25,,,Blue_LowPoly,slimFastActiv,waitOnP2,trainTicketP2
train2line4ArrivingP1S5,gateS5,25,,,Blue_LowPoly,slimFastActiv,,
gateS5,train0line3ArrivingP2S5,50,-0:06:00,paxArrRateAtStn,Blue_LowPoly,slimFastActiv,waitOnP2,trainTicketP2
gateS5,train0line3ArrivingP2S5,50,-0:06:00,paxArrRateAtStn,Green_LowPoly,DefaultProfile,waitOnP2,trainTicketP2
gateS5,train0line3ArrivingP2S5,50,-0:06:00,paxArrRateAtStn,Orange_LowPoly,fatSlowLazy,waitOnP2,trainTicketP2
train0line3ArrivingP2S5,trainSeatsP1,24,,,Green_LowPoly,DefaultProfile,waitOnP1,trainTicketP1
train0line3ArrivingP2S5,gateS5,24,,,Green_LowPoly,DefaultProfile,,
train0line3ArrivingP2S5,trainSeatsP1,19,,,Orange_LowPoly,fatSlowLazy,waitOnP1,trainTicketP1
train0line3ArrivingP2S5,gateS5,19,,,Orange_LowPoly,fatSlowLazy,,
train0line3ArrivingP2S5,trainSeatsP1,24,,,Blue_LowPoly,slimFastActiv,waitOnP1,trainTicketP1
train0line3ArrivingP2S5,gateS5,24,,,Blue_LowPoly,slimFastActiv,,
gateS5,train1line3ArrivingP2S5,50,-0:06:00,paxArrRateAtStn,Blue_LowPoly,slimFastActiv,waitOnP2,trainTicketP2
gateS5,train1line3ArrivingP2S5,50,-0:06:00,paxArrRateAtStn,Green_LowPoly,DefaultProfile,waitOnP2,trainTicketP2
gateS5,train1line3ArrivingP2S5,50,-0:06:00,paxArrRateAtStn,Orange_LowPoly,fatSlowLazy,waitOnP2,trainTicketP2
train1line3ArrivingP2S5,trainSeatsP1,24,,,Green_LowPoly,DefaultProfile,waitOnP1,trainTicketP1
train1line3ArrivingP2S5,gateS5,24,,,Green_LowPoly,DefaultProfile,,
train1line3ArrivingP2S5,trainSeatsP1,19,,,Orange_LowPoly,fatSlowLazy,waitOnP1,trainTicketP1
train1line3ArrivingP2S5,gateS5,19,,,Orange_LowPoly,fatSlowLazy,,
train1line3ArrivingP2S5,trainSeatsP1,24,,,Blue_LowPoly,slimFastActiv,waitOnP1,trainTicketP1
train1line3ArrivingP2S5,gateS5,24,,,Blue_LowPoly,slimFastActiv,,
