From,To,Population,Time Offset,Curve,Avatar,Profile,Init Action,Give Tokens...
gateS4,train0line3ArrivingP2S4,50,-0:06:00,paxArrRateAtStn,Blue_LowPoly,slimFastActiv,waitOnP2,trainTicketP2
gateS4,train0line3ArrivingP2S4,50,-0:06:00,paxArrRateAtStn,Green_LowPoly,DefaultProfile,waitOnP2,trainTicketP2
gateS4,train0line3ArrivingP2S4,50,-0:06:00,paxArrRateAtStn,Orange_LowPoly,fatSlowLazy,waitOnP2,trainTicketP2
train0line3ArrivingP2S4,trainSeatsP1,25,,,Green_LowPoly,DefaultProfile,waitOnP1,trainTicketP1
train0line3ArrivingP2S4,gateS4,25,,,Green_LowPoly,DefaultProfile,,
train0line3ArrivingP2S4,trainSeatsP1,25,,,Orange_LowPoly,fatSlowLazy,waitOnP1,trainTicketP1
train0line3ArrivingP2S4,gateS4,25,,,Orange_LowPoly,fatSlowLazy,,
train0line3ArrivingP2S4,trainSeatsP1,25,,,Blue_LowPoly,slimFastActiv,waitOnP1,trainTicketP1
train0line3ArrivingP2S4,gateS4,25,,,Blue_LowPoly,slimFastActiv,,
gateS4,train1line3ArrivingP2S4,50,-0:06:00,paxArrRateAtStn,Blue_LowPoly,slimFastActiv,waitOnP2,trainTicketP2
gateS4,train1line3ArrivingP2S4,50,-0:06:00,paxArrRateAtStn,Green_LowPoly,DefaultProfile,waitOnP2,trainTicketP2
gateS4,train1line3ArrivingP2S4,50,-0:06:00,paxArrRateAtStn,Orange_LowPoly,fatSlowLazy,waitOnP2,trainTicketP2
train1line3ArrivingP2S4,trainSeatsP1,25,,,Green_LowPoly,DefaultProfile,waitOnP1,trainTicketP1
train1line3ArrivingP2S4,gateS4,25,,,Green_LowPoly,DefaultProfile,,
train1line3ArrivingP2S4,trainSeatsP1,25,,,Orange_LowPoly,fatSlowLazy,waitOnP1,trainTicketP1
train1line3ArrivingP2S4,gateS4,25,,,Orange_LowPoly,fatSlowLazy,,
train1line3ArrivingP2S4,trainSeatsP1,25,,,Blue_LowPoly,slimFastActiv,waitOnP1,trainTicketP1
train1line3ArrivingP2S4,gateS4,25,,,Blue_LowPoly,slimFastActiv,,
